CHAP 171116/1756 27.05°S 52.60°W
Pres, Altura, Tempe, Orvalho, DireçãoVento,  Velocidade 
430.81, 6943.21, -18.53, -20.05, 317.43, 40.61
430.57, 6947.66, -18.53, -19.97, 317.34, 40.70
430.29, 6952.23, -18.50, -19.80, 317.29, 40.80
430.01, 6956.83, -18.43, -19.62, 317.27, 40.90
429.75, 6961.35, -18.39, -19.63, 317.28, 41.01
429.52, 6965.86, -18.40, -19.78, 317.31, 41.12
429.26, 6970.63, -18.46, -19.92, 317.37, 41.24
428.94, 6975.74, -18.52, -20.01, 317.44, 41.37
428.63, 6980.95, -18.56, -20.03, 317.54, 41.50
428.34, 6985.98, -18.58, -19.99, 317.65, 41.63
428.07, 6990.64, -18.58, -19.96, 317.77, 41.77
427.82, 6994.94, -18.56, -19.93, 317.90, 41.91
427.59, 6999.13, -18.54, -19.98, 318.04, 42.05
427.36, 7003.57, -18.55, -20.08, 318.18, 42.19
427.08, 7008.64, -18.58, -20.17, 318.33, 42.34
426.72, 7014.40, -18.62, -20.25, 318.47, 42.49
426.36, 7020.46, -18.66, -20.32, 318.60, 42.64
426.03, 7026.41, -18.71, -20.40, 318.73, 42.79
425.69, 7032.12, -18.77, -20.45, 318.85, 42.95
425.38, 7037.67, -18.82, -20.47, 318.95, 43.10
425.10, 7043.43, -18.85, -20.49, 319.05, 43.26
424.73, 7049.78, -18.85, -20.48, 319.13, 43.41
424.30, 7056.59, -18.84, -20.42, 319.21, 43.57
423.89, 7063.32, -18.81, -20.29, 319.29, 43.72
423.57, 7069.64, -18.80, -20.11, 319.36, 43.86
423.24, 7075.80, -18.84, -19.93, 319.43, 44.00
422.87, 7082.10, -18.89, -19.84, 319.51, 44.13
422.51, 7088.56, -18.94, -19.95, 319.58, 44.26
422.13, 7095.05, -18.96, -20.15, 319.65, 44.37
421.75, 7101.26, -18.98, -20.22, 319.73, 44.47
421.44, 7106.86, -19.00, -20.18, 319.81, 44.57
421.17, 7111.93, -19.03, -20.19, 319.89, 44.66
420.91, 7116.86, -19.06, -20.27, 319.98, 44.74
420.62, 7122.02, -19.08, -20.35, 320.07, 44.82
420.30, 7127.56, -19.12, -20.44, 320.16, 44.88
419.95, 7133.33, -19.16, -20.60, 320.25, 44.94
419.62, 7139.02, -19.21, -20.77, 320.34, 45.00
419.34, 7144.47, -19.26, -20.90, 320.42, 45.04
419.05, 7149.79, -19.31, -21.01, 320.49, 45.08
418.73, 7155.19, -19.36, -21.11, 320.54, 45.12
418.41, 7160.70, -19.40, -21.17, 320.57, 45.15
418.12, 7166.34, -19.42, -21.21, 320.59, 45.17
417.79, 7172.27, -19.43, -21.20, 320.58, 45.19
417.40, 7178.49, -19.44, -21.15, 320.54, 45.22
417.05, 7184.80, -19.47, -21.10, 320.47, 45.25
416.72, 7191.22, -19.51, -21.12, 320.36, 45.28
416.35, 7197.96, -19.56, -21.21, 320.21, 45.33
415.93, 7205.02, -19.61, -21.30, 320.02, 45.38
415.52, 7212.12, -19.66, -21.38, 319.78, 45.45
415.14, 7218.99, -19.72, -21.47, 319.51, 45.52
414.79, 7225.61, -19.77, -21.54, 319.19, 45.61
414.43, 7232.10, -19.82, -21.59, 318.84, 45.72
414.05, 7238.52, -19.87, -21.60, 318.46, 45.83
413.69, 7244.76, -19.92, -21.56, 318.06, 45.97
413.37, 7250.90, -19.96, -21.56, 317.63, 46.11
413.03, 7257.25, -20.00, -21.57, 317.18, 46.28
412.66, 7264.15, -20.03, -21.59, 316.72, 46.46
412.23, 7271.69, -20.07, -21.63, 316.25, 46.65
411.77, 7279.56, -20.12, -21.66, 315.77, 46.85
411.33, 7287.22, -20.17, -21.67, 315.30, 47.07
410.94, 7294.19, -20.20, -21.71, 314.83, 47.29
410.62, 7300.37, -20.22, -21.82, 314.38, 47.51
410.32, 7305.98, -20.25, -21.94, 313.94, 47.73
410.02, 7311.40, -20.25, -21.99, 313.52, 47.95
409.71, 7316.88, -20.21, -21.98, 313.12, 48.17
409.39, 7322.59, -20.20, -21.97, 312.75, 48.37
409.07, 7328.62, -20.23, -21.96, 312.41, 48.57
408.72, 7335.02, -20.28, -21.92, 312.09, 48.75
408.35, 7341.69, -20.34, -21.88, 311.80, 48.91
407.96, 7348.42, -20.42, -21.85, 311.52, 49.05
407.59, 7354.75, -20.48, -21.81, 311.26, 49.17
407.29, 7360.51, -20.51, -21.81, 311.02, 49.26
407.01, 7365.93, -20.52, -21.84, 310.79, 49.33
406.72, 7371.52, -20.52, -21.85, 310.56, 49.37
406.39, 7377.71, -20.53, -21.86, 310.34, 49.39
405.99, 7384.47, -20.57, -21.92, 310.12, 49.38
405.58, 7391.28, -20.62, -21.96, 309.89, 49.35
405.24, 7397.58, -20.64, -21.95, 309.65, 49.30
404.95, 7403.28, -20.61, -21.93, 309.40, 49.23
404.68, 7408.67, -20.60, -21.96, 309.14, 49.15
404.37, 7414.05, -20.61, -22.04, 308.85, 49.05
404.06, 7419.43, -20.66, -22.12, 308.53, 48.93
403.78, 7424.65, -20.69, -22.16, 308.18, 48.81
403.52, 7429.60, -20.72, -22.20, 307.80, 48.69
403.26, 7434.26, -20.72, -22.28, 307.38, 48.57
403.01, 7438.59, -20.72, -22.37, 306.93, 48.45
402.81, 7442.66, -20.73, -22.47, 306.45, 48.34
402.60, 7446.72, -20.78, -22.54, 305.93, 48.25
402.36, 7450.87, -20.84, -22.58, 305.38, 48.17
402.12, 7455.07, -20.88, -22.60, 304.80, 48.11
401.90, 7459.30, -20.90, -22.58, 304.20, 48.08
401.66, 7463.66, -20.90, -22.49, 303.58, 48.08
401.42, 7468.31, -20.89, -22.44, 302.93, 48.10
401.14, 7473.34, -20.87, -22.43, 302.28, 48.15
400.85, 7478.75, -20.86, -22.42, 301.62, 48.22
400.53, 7484.42, -20.85, -22.39, 300.95, 48.33
400.20, 7490.19, -20.80, -22.32, 300.29, 48.46
399.90, 7495.95, -20.74, -22.27, 299.64, 48.62
399.61, 7501.85, -20.71, -22.31, 299.01, 48.80
399.28, 7508.17, -20.72, -22.34, 298.40, 49.01
398.88, 7515.00, -20.73, -22.34, 297.82, 49.24
398.48, 7522.08, -20.76, -22.35, 297.27, 49.49
398.13, 7529.24, -20.76, -22.35, 296.74, 49.75
397.74, 7536.59, -20.76, -22.35, 296.25, 50.01
397.31, 7544.10, -20.81, -22.40, 295.80, 50.28
396.89, 7551.59, -20.92, -22.52, 295.39, 50.53
396.52, 7558.91, -20.98, -22.60, 295.01, 50.78
396.15, 7566.23, -20.99, -22.59, 294.67, 51.00
395.74, 7573.73, -21.00, -22.57, 294.38, 51.22
395.32, 7581.27, -21.03, -22.58, 294.12, 51.40
394.94, 7588.52, -21.06, -22.63, 293.89, 51.57
394.57, 7595.11, -21.13, -22.81, 293.70, 51.71
394.25, 7600.76, -21.19, -22.94, 293.55, 51.82
394.02, 7605.45, -21.13, -22.88, 293.42, 51.90
393.82, 7609.63, -20.96, -22.65, 293.31, 51.96
393.60, 7613.91, -20.77, -22.43, 293.23, 51.98
393.34, 7618.66, -20.66, -22.32, 293.17, 51.98
393.03, 7623.93, -20.69, -22.30, 293.13, 51.95
392.74, 7629.58, -20.81, -22.22, 293.10, 51.89
392.43, 7635.60, -20.91, -21.98, 293.09, 51.81
392.10, 7642.12, -20.92, -21.79, 293.08, 51.71
391.72, 7649.19, -20.91, -21.83, 293.07, 51.58
391.31, 7656.55, -20.95, -22.02, 293.05, 51.44
390.91, 7663.73, -20.98, -22.19, 293.03, 51.29
390.57, 7670.43, -21.02, -22.35, 293.00, 51.13
390.25, 7676.73, -21.13, -22.56, 292.95, 50.97
389.93, 7682.90, -21.27, -22.77, 292.89, 50.81
389.59, 7689.19, -21.38, -22.83, 292.81, 50.65
389.25, 7695.80, -21.40, -22.73, 292.71, 50.50
388.88, 7702.91, -21.35, -22.54, 292.59, 50.35
388.48, 7710.65, -21.31, -22.38, 292.46, 50.20
388.03, 7718.92, -21.34, -22.38, 292.30, 50.06
387.56, 7727.25, -21.42, -22.49, 292.13, 49.93
387.15, 7735.12, -21.48, -22.59, 291.94, 49.81
386.78, 7742.29, -21.50, -22.62, 291.73, 49.70
386.46, 7748.95, -21.49, -22.62, 291.52, 49.60
386.12, 7755.57, -21.48, -22.59, 291.30, 49.50
385.74, 7762.48, -21.47, -22.52, 291.07, 49.41
385.37, 7769.64, -21.48, -22.52, 290.84, 49.31
384.99, 7776.87, -21.52, -22.65, 290.62, 49.22
384.61, 7783.90, -21.59, -22.90, 290.41, 49.14
384.26, 7790.49, -21.67, -23.14, 290.21, 49.05
383.96, 7796.55, -21.70, -23.22, 290.04, 48.96
383.66, 7802.33, -21.71, -23.20, 289.89, 48.86
383.35, 7808.17, -21.75, -23.22, 289.76, 48.76
383.05, 7814.44, -21.79, -23.32, 289.66, 48.66
382.70, 7821.47, -21.82, -23.40, 289.58, 48.54
382.27, 7829.19, -21.78, -23.38, 289.53, 48.42
381.83, 7837.05, -21.65, -23.25, 289.50, 48.29
381.44, 7844.38, -21.56, -23.24, 289.50, 48.15
381.14, 7850.93, -21.65, -23.52, 289.52, 48.00
380.85, 7857.06, -21.78, -23.80, 289.57, 47.85
380.50, 7863.19, -21.79, -23.77, 289.64, 47.69
380.18, 7869.39, -21.73, -23.63, 289.72, 47.52
379.87, 7875.66, -21.72, -23.59, 289.82, 47.36
379.53, 7882.02, -21.76, -23.62, 289.93, 47.20
379.21, 7888.42, -21.83, -23.68, 290.03, 47.04
378.88, 7894.83, -21.89, -23.75, 290.13, 46.87
378.55, 7901.14, -21.94, -23.79, 290.23, 46.72
378.24, 7907.03, -21.97, -23.81, 290.31, 46.56
377.96, 7912.13, -22.00, -23.83, 290.37, 46.40
377.75, 7916.23, -22.01, -23.86, 290.41, 46.25
377.59, 7919.57, -22.01, -23.89, 290.43, 46.10
377.45, 7922.83, -22.03, -23.93, 290.43, 45.96
377.27, 7926.86, -22.06, -23.98, 290.39, 45.82
376.98, 7932.18, -22.10, -24.03, 290.33, 45.69
376.62, 7938.60, -22.14, -24.09, 290.23, 45.57
376.26, 7945.49, -22.17, -24.20, 290.10, 45.46
375.90, 7952.39, -22.20, -24.35, 289.93, 45.36
375.57, 7959.10, -22.25, -24.46, 289.73, 45.26
375.25, 7965.73, -22.31, -24.52, 289.52, 45.18
374.91, 7972.54, -22.36, -24.55, 289.31, 45.11
374.52, 7979.58, -22.43, -24.62, 289.12, 45.06
374.13, 7986.59, -22.49, -24.69, 288.91, 45.01
373.84, 7993.37, -22.49, -24.73, 288.65, 44.96
373.51, 8000.22, -22.48, -24.74, 288.35, 44.90
373.10, 8007.32, -22.50, -24.73, 288.01, 44.86
372.75, 8014.52, -22.53, -24.79, 287.67, 44.82
372.41, 8021.79, -22.59, -24.88, 287.32, 44.80
372.02, 8029.16, -22.66, -24.96, 286.97, 44.80
371.62, 8036.29, -22.72, -24.99, 286.63, 44.82
371.29, 8042.80, -22.77, -25.01, 286.29, 44.85
371.01, 8048.79, -22.80, -25.03, 285.97, 44.89
370.74, 8054.75, -22.84, -25.04, 285.66, 44.96
370.42, 8061.28, -22.89, -25.04, 285.37, 45.03
370.02, 8068.59, -22.96, -25.07, 285.09, 45.12
369.60, 8076.35, -23.02, -25.15, 284.84, 45.23
369.23, 8084.04, -23.07, -25.27, 284.61, 45.36
368.86, 8091.36, -23.11, -25.33, 284.41, 45.50
368.52, 8098.18, -23.14, -25.34, 284.23, 45.65
368.20, 8104.44, -23.18, -25.38, 284.07, 45.82
367.92, 8110.24, -23.22, -25.43, 283.93, 46.00
367.65, 8115.68, -23.27, -25.45, 283.81, 46.20
367.39, 8120.88, -23.32, -25.42, 283.71, 46.41
367.13, 8125.84, -23.36, -25.41, 283.62, 46.63
366.89, 8130.53, -23.38, -25.44, 283.54, 46.86
366.69, 8135.04, -23.39, -25.47, 283.48, 47.09
366.45, 8139.46, -23.39, -25.49, 283.42, 47.32
366.23, 8143.75, -23.39, -25.49, 283.37, 47.56
366.02, 8147.85, -23.40, -25.52, 283.33, 47.79
365.83, 8151.84, -23.41, -25.57, 283.29, 48.01
365.65, 8155.90, -23.42, -25.64, 283.25, 48.23
365.42, 8160.21, -23.42, -25.68, 283.21, 48.44
365.17, 8164.70, -23.43, -25.67, 283.16, 48.64
364.96, 8169.19, -23.44, -25.65, 283.11, 48.82
364.75, 8173.77, -23.46, -25.66, 283.06, 48.99
364.50, 8178.58, -23.48, -25.71, 283.00, 49.13
364.24, 8183.61, -23.49, -25.77, 282.93, 49.25
363.99, 8188.78, -23.52, -25.83, 282.86, 49.35
363.73, 8194.08, -23.55, -25.94, 282.79, 49.43
363.46, 8199.52, -23.58, -26.06, 282.71, 49.48
363.17, 8204.99, -23.62, -26.15, 282.63, 49.52
362.91, 8210.32, -23.67, -26.22, 282.54, 49.52
362.67, 8215.52, -23.73, -26.27, 282.44, 49.51
362.42, 8220.75, -23.78, -26.30, 282.33, 49.46
362.14, 8226.04, -23.84, -26.33, 282.20, 49.39
361.86, 8231.15, -23.88, -26.42, 282.07, 49.30
361.63, 8235.88, -23.90, -26.52, 281.93, 49.19
361.45, 8240.30, -23.93, -26.59, 281.78, 49.07
361.23, 8244.82, -23.95, -26.60, 281.62, 48.93
360.95, 8249.56, -23.99, -26.55, 281.46, 48.77
360.72, 8254.32, -24.02, -26.51, 281.28, 48.61
360.52, 8259.22, -24.07, -26.50, 281.09, 48.45
360.25, 8264.63, -24.11, -26.47, 280.89, 48.28
359.93, 8270.56, -24.15, -26.40, 280.67, 48.11
359.64, 8276.68, -24.19, -26.34, 280.43, 47.94
359.34, 8282.63, -24.23, -26.32, 280.17, 47.77
359.05, 8287.90, -24.28, -26.37, 279.90, 47.61
358.85, 8292.07, -24.31, -26.48, 279.62, 47.46
358.72, 8295.27, -24.34, -26.63, 279.32, 47.33
358.60, 8298.06, -24.35, -26.76, 279.00, 47.21
358.45, 8301.10, -24.37, -26.83, 278.67, 47.11
358.26, 8304.78, -24.40, -26.88, 278.32, 47.03
358.04, 8309.21, -24.44, -26.93, 277.97, 46.98
357.79, 8314.39, -24.49, -26.98, 277.61, 46.95
357.49, 8320.08, -24.54, -27.06, 277.24, 46.95
357.21, 8325.93, -24.59, -27.14, 276.86, 46.96
356.92, 8331.73, -24.63, -27.21, 276.48, 47.00
356.64, 8337.29, -24.67, -27.23, 276.09, 47.07
356.41, 8342.51, -24.71, -27.24, 275.71, 47.15
356.17, 8347.51, -24.75, -27.24, 275.32, 47.25
355.91, 8352.28, -24.79, -27.23, 274.95, 47.36
355.69, 8356.61, -24.82, -27.25, 274.58, 47.49
355.52, 8360.45, -24.86, -27.32, 274.23, 47.63
355.35, 8364.01, -24.90, -27.42, 273.89, 47.77
355.17, 8367.56, -24.95, -27.48, 273.58, 47.93
355.00, 8371.38, -24.99, -27.44, 273.28, 48.09
354.79, 8375.74, -25.04, -27.27, 273.00, 48.25
354.53, 8380.69, -25.08, -27.03, 272.75, 48.41
354.27, 8385.97, -25.12, -26.85, 272.52, 48.56
354.01, 8391.45, -25.15, -26.80, 272.31, 48.70
353.73, 8397.05, -25.17, -26.88, 272.12, 48.83
353.46, 8402.78, -25.19, -27.02, 271.96, 48.95
353.18, 8408.71, -25.20, -27.12, 271.82, 49.05
352.87, 8414.84, -25.24, -27.21, 271.70, 49.15
352.56, 8420.96, -25.29, -27.29, 271.61, 49.23
352.29, 8426.92, -25.33, -27.30, 271.54, 49.29
352.01, 8432.69, -25.36, -27.25, 271.49, 49.35
351.72, 8438.20, -25.37, -27.16, 271.46, 49.40
351.48, 8443.40, -25.38, -27.14, 271.45, 49.44
351.25, 8448.46, -25.40, -27.23, 271.45, 49.48
351.00, 8453.65, -25.45, -27.34, 271.45, 49.52
350.74, 8459.12, -25.51, -27.37, 271.47, 49.55
350.46, 8464.84, -25.57, -27.28, 271.49, 49.58
350.15, 8470.55, -25.61, -27.14, 271.51, 49.61
349.90, 8475.86, -25.62, -27.01, 271.54, 49.65
349.68, 8480.63, -25.62, -27.00, 271.58, 49.68
349.48, 8485.06, -25.62, -27.08, 271.62, 49.73
349.27, 8489.41, -25.64, -27.19, 271.66, 49.78
349.05, 8493.82, -25.67, -27.29, 271.69, 49.83
348.82, 8498.31, -25.72, -27.40, 271.73, 49.90
348.61, 8502.86, -25.76, -27.50, 271.75, 49.97
348.39, 8507.62, -25.79, -27.55, 271.77, 50.05
348.15, 8512.81, -25.81, -27.59, 271.77, 50.14
347.87, 8518.52, -25.84, -27.62, 271.77, 50.23
347.56, 8524.56, -25.88, -27.63, 271.76, 50.32
347.26, 8530.68, -25.92, -27.65, 271.73, 50.41
346.99, 8536.82, -25.97, -27.67, 271.70, 50.51
346.71, 8543.20, -26.01, -27.65, 271.67, 50.60
346.35, 8549.89, -26.02, -27.55, 271.62, 50.69
346.01, 8556.49, -26.00, -27.39, 271.57, 50.76
345.75, 8562.65, -25.97, -27.36, 271.50, 50.83
345.48, 8568.56, -25.96, -27.43, 271.43, 50.89
345.20, 8574.45, -25.98, -27.49, 271.36, 50.94
344.90, 8580.28, -26.02, -27.48, 271.29, 50.98
344.63, 8585.78, -26.07, -27.44, 271.21, 51.01
344.40, 8590.73, -26.12, -27.41, 271.13, 51.03
344.21, 8595.23, -26.18, -27.47, 271.06, 51.03
344.00, 8599.60, -26.24, -27.59, 270.98, 51.02
343.77, 8604.02, -26.30, -27.70, 270.91, 51.00
343.56, 8608.50, -26.36, -27.85, 270.85, 50.97
343.35, 8613.07, -26.40, -28.03, 270.79, 50.92
343.12, 8617.80, -26.43, -28.15, 270.74, 50.86
342.90, 8622.78, -26.47, -28.20, 270.69, 50.79
342.63, 8628.08, -26.51, -28.26, 270.66, 50.72
342.37, 8633.59, -26.55, -28.35, 270.63, 50.64
342.11, 8639.17, -26.59, -28.46, 270.61, 50.56
341.84, 8644.75, -26.62, -28.57, 270.61, 50.48
341.58, 8650.26, -26.66, -28.63, 270.62, 50.40
341.33, 8655.64, -26.69, -28.64, 270.64, 50.33
341.10, 8660.92, -26.74, -28.64, 270.67, 50.27
340.83, 8666.03, -26.80, -28.67, 270.71, 50.21
340.60, 8670.67, -26.85, -28.72, 270.76, 50.15
340.42, 8674.64, -26.90, -28.79, 270.81, 50.11
340.27, 8678.14, -26.94, -28.86, 270.86, 50.08
340.11, 8681.63, -26.97, -28.89, 270.92, 50.06
339.93, 8685.57, -27.00, -28.88, 270.98, 50.05
339.70, 8690.19, -27.04, -28.87, 271.03, 50.05
339.46, 8695.37, -27.08, -28.93, 271.08, 50.07
339.19, 8700.91, -27.12, -29.04, 271.12, 50.10
338.91, 8706.55, -27.15, -29.13, 271.15, 50.15
338.66, 8712.09, -27.19, -29.14, 271.17, 50.22
338.43, 8717.63, -27.22, -29.16, 271.17, 50.30
338.15, 8723.30, -27.26, -29.22, 271.15, 50.39
337.85, 8728.92, -27.31, -29.32, 271.11, 50.49
337.62, 8734.29, -27.35, -29.43, 271.05, 50.60
337.40, 8739.65, -27.38, -29.55, 270.95, 50.73
337.13, 8745.39, -27.40, -29.64, 270.84, 50.86
336.81, 8751.55, -27.43, -29.73, 270.69, 50.99
336.51, 8757.79, -27.46, -29.81, 270.51, 51.14
336.23, 8763.87, -27.49, -29.88, 270.31, 51.28
335.97, 8769.81, -27.52, -29.93, 270.07, 51.43
335.70, 8775.90, -27.57, -29.96, 269.81, 51.58
335.39, 8782.32, -27.63, -29.98, 269.53, 51.74
335.06, 8789.00, -27.69, -30.00, 269.22, 51.89
334.74, 8795.74, -27.72, -30.04, 268.90, 52.05
334.45, 8802.43, -27.71, -30.07, 268.56, 52.20
334.14, 8809.15, -27.70, -30.12, 268.20, 52.36
333.81, 8815.96, -27.74, -30.21, 267.83, 52.52
333.49, 8822.78, -27.79, -30.28, 267.45, 52.67
333.19, 8829.57, -27.85, -30.31, 267.07, 52.82
332.88, 8836.42, -27.87, -30.27, 266.69, 52.96
332.54, 8843.36, -27.85, -30.17, 266.32, 53.10
332.22, 8850.21, -27.80, -30.08, 265.97, 53.23
331.92, 8856.86, -27.75, -30.04, 265.63, 53.36
331.61, 8863.29, -27.76, -30.12, 265.31, 53.47
331.34, 8869.56, -27.83, -30.31, 265.01, 53.59
331.06, 8875.90, -27.93, -30.46, 264.73, 53.69
330.75, 8882.49, -28.02, -30.47, 264.47, 53.80
330.43, 8889.16, -28.09, -30.37, 264.23, 53.90
330.12, 8895.52, -28.12, -30.26, 264.01, 54.00
329.85, 8901.23, -28.12, -30.23, 263.82, 54.09
329.63, 8906.27, -28.10, -30.28, 263.65, 54.19
329.45, 8911.12, -28.07, -30.36, 263.50, 54.29
329.21, 8916.43, -28.04, -30.40, 263.37, 54.38
328.90, 8922.29, -28.02, -30.41, 263.26, 54.48
328.62, 8928.21, -28.02, -30.49, 263.17, 54.58
328.37, 8933.81, -28.04, -30.63, 263.10, 54.68
328.13, 8939.15, -28.09, -30.76, 263.04, 54.79
327.92, 8944.57, -28.14, -30.81, 262.99, 54.91
327.64, 8950.49, -28.20, -30.81, 262.95, 55.03
327.31, 8956.97, -28.25, -30.81, 262.92, 55.17
327.00, 8963.72, -28.30, -30.83, 262.89, 55.32
326.72, 8970.66, -28.35, -30.86, 262.87, 55.48
326.39, 8977.97, -28.40, -30.88, 262.84, 55.65
326.01, 8985.50, -28.46, -30.89, 262.83, 55.82
325.67, 8992.67, -28.52, -30.91, 262.81, 56.01
325.38, 8999.02, -28.56, -30.95, 262.80, 56.20
325.16, 9004.57, -28.59, -31.01, 262.79, 56.40
324.93, 9009.79, -28.60, -31.08, 262.79, 56.60
324.70, 9015.13, -28.63, -31.17, 262.79, 56.81
324.43, 9020.73, -28.68, -31.26, 262.79, 57.01
324.16, 9026.36, -28.75, -31.29, 262.80, 57.21
323.92, 9031.71, -28.82, -31.26, 262.81, 57.40
323.70, 9036.62, -28.88, -31.22, 262.83, 57.59
323.50, 9041.16, -28.92, -31.23, 262.86, 57.76
323.31, 9045.43, -28.96, -31.32, 262.90, 57.91
323.12, 9049.46, -28.99, -31.43, 262.96, 58.05
322.95, 9053.22, -29.02, -31.53, 263.02, 58.17
322.80, 9056.70, -29.05, -31.59, 263.10, 58.26
322.65, 9059.93, -29.08, -31.61, 263.19, 58.33
322.51, 9062.97, -29.10, -31.63, 263.29, 58.37
322.37, 9065.91, -29.13, -31.65, 263.39, 58.38
322.24, 9068.91, -29.15, -31.70, 263.51, 58.37
322.11, 9072.20, -29.17, -31.78, 263.64, 58.32
321.94, 9076.03, -29.20, -31.86, 263.77, 58.23
321.72, 9080.40, -29.23, -31.92, 263.91, 58.12
321.49, 9084.92, -29.27, -31.99, 264.06, 57.98
321.32, 9089.33, -29.30, -32.07, 264.20, 57.80
321.14, 9093.86, -29.33, -32.17, 264.35, 57.60
320.91, 9098.76, -29.36, -32.28, 264.50, 57.36
320.68, 9104.04, -29.40, -32.35, 264.63, 57.10
320.41, 9109.54, -29.44, -32.40, 264.76, 56.82
320.15, 9114.91, -29.47, -32.43, 264.88, 56.52
319.94, 9119.91, -29.50, -32.45, 264.98, 56.20
319.74, 9124.77, -29.54, -32.47, 265.07, 55.87
319.52, 9129.89, -29.58, -32.45, 265.13, 55.53
319.26, 9135.53, -29.63, -32.42, 265.18, 55.19
318.97, 9141.63, -29.67, -32.45, 265.19, 54.85
318.71, 9147.85, -29.71, -32.54, 265.19, 54.51
318.43, 9153.88, -29.76, -32.65, 265.15, 54.18
318.16, 9159.34, -29.80, -32.70, 265.10, 53.86
317.97, 9163.92, -29.84, -32.68, 265.02, 53.57
317.81, 9167.77, -29.87, -32.65, 264.91, 53.29
317.66, 9171.41, -29.89, -32.64, 264.78, 53.05
317.48, 9175.32, -29.92, -32.67, 264.63, 52.83
317.29, 9179.83, -29.95, -32.73, 264.45, 52.65
317.05, 9185.10, -29.99, -32.79, 264.25, 52.51
316.77, 9190.92, -30.02, -32.78, 264.04, 52.41
316.51, 9196.84, -30.04, -32.76, 263.81, 52.34
316.26, 9202.51, -30.06, -32.78, 263.57, 52.31
316.03, 9207.75, -30.10, -32.86, 263.32, 52.32
315.82, 9212.46, -30.16, -32.94, 263.06, 52.37
315.62, 9216.66, -30.22, -32.98, 262.80, 52.47
315.46, 9220.56, -30.26, -33.00, 262.54, 52.60
315.30, 9224.53, -30.28, -32.99, 262.27, 52.77
315.11, 9228.93, -30.30, -32.98, 262.01, 52.97
314.88, 9233.86, -30.31, -33.00, 261.76, 53.21
314.63, 9239.13, -30.32, -33.04, 261.51, 53.49
314.40, 9244.45, -30.33, -33.09, 261.28, 53.79
314.19, 9249.77, -30.35, -33.14, 261.06, 54.12
313.93, 9255.14, -30.39, -33.17, 260.86, 54.47
313.68, 9260.44, -30.44, -33.19, 260.68, 54.84
313.47, 9265.65, -30.48, -33.20, 260.52, 55.23
313.25, 9271.11, -30.51, -33.19, 260.38, 55.63
312.97, 9277.10, -30.54, -33.16, 260.26, 56.05
312.68, 9283.50, -30.58, -33.15, 260.17, 56.47
312.39, 9290.08, -30.62, -33.20, 260.09, 56.90
312.10, 9296.66, -30.65, -33.29, 260.04, 57.34
311.82, 9303.17, -30.67, -33.34, 260.01, 57.78
311.54, 9309.60, -30.70, -33.34, 259.99, 58.23
311.26, 9315.90, -30.73, -33.27, 259.99, 58.67
310.99, 9321.90, -30.78, -33.21, 260.00, 59.12
310.74, 9327.40, -30.83, -33.19, 260.03, 59.56
310.54, 9332.42, -30.88, -33.16, 260.06, 60.00
310.34, 9337.30, -30.91, -33.16, 260.09, 60.44
310.11, 9342.37, -30.94, -33.19, 260.13, 60.86
309.87, 9347.66, -30.97, -33.19, 260.16, 61.28
309.62, 9353.00, -30.98, -33.16, 260.17, 61.69
309.40, 9358.18, -30.97, -33.16, 260.18, 62.09
309.20, 9363.27, -30.98, -33.22, 260.16, 62.48
308.97, 9368.58, -30.99, -33.27, 260.12, 62.86
308.71, 9374.27, -31.00, -33.26, 260.06, 63.23
308.45, 9380.24, -31.00, -33.19, 259.97, 63.60
308.18, 9386.34, -30.99, -33.17, 259.85, 63.96
307.91, 9392.41, -31.00, -33.25, 259.70, 64.31
307.66, 9398.41, -31.03, -33.39, 259.51, 64.65
307.41, 9404.46, -31.11, -33.57, 259.29, 64.98
307.14, 9410.66, -31.20, -33.73, 259.04, 65.30
306.85, 9416.92, -31.27, -33.80, 258.75, 65.61
306.58, 9423.02, -31.32, -33.88, 258.44, 65.90
306.34, 9428.99, -31.36, -33.96, 258.10, 66.19
306.08, 9435.17, -31.40, -33.98, 257.75, 66.46
305.79, 9441.88, -31.42, -33.87, 257.37, 66.72
305.48, 9449.08, -31.41, -33.74, 256.99, 66.98
305.16, 9456.31, -31.39, -33.71, 256.60, 67.21
304.83, 9462.87, -31.42, -33.85, 256.21, 67.44
304.59, 9468.13, -31.53, -34.12, 255.82, 67.65
304.49, 9472.26, -31.63, -34.25, 255.45, 67.83
304.35, 9476.37, -31.65, -34.10, 255.08, 68.00
304.11, 9481.18, -31.57, -33.86, 254.74, 68.15
303.83, 9486.27, -31.39, -33.66, 254.42, 68.28
303.65, 9490.79, -31.19, -33.55, 254.13, 68.38
303.52, 9494.47, -31.06, -33.61, 253.86, 68.46
303.39, 9497.46, -31.04, -33.79, 253.63, 68.51
303.27, 9500.08, -31.07, -33.89, 253.44, 68.54
303.16, 9502.65, -31.09, -33.86, 253.28, 68.54
303.05, 9505.60, -31.10, -33.69, 253.16, 68.51
302.91, 9509.35, -31.09, -33.46, 253.08, 68.46
302.69, 9514.14, -31.11, -33.31, 253.04, 68.40
302.42, 9519.69, -31.14, -33.33, 253.03, 68.31
302.18, 9525.42, -31.18, -33.46, 253.05, 68.21
301.95, 9531.00, -31.22, -33.60, 253.10, 68.10
301.72, 9536.39, -31.26, -33.63, 253.18, 67.97
